date,open,high,low,close,volume
2026-04-13 09:15:00+05:30,54646.0,54848.1,54499.5,54499.5,0
2026-04-13 09:16:00+05:30,54503.25,54523.8,54356.2,54431.75,0
2026-04-13 09:17:00+05:30,54439.9,54549.35,54431.0,54467.95,0
2026-04-13 09:18:00+05:30,54470.75,54474.7,54384.35,54415.6,0
2026-04-13 09:19:00+05:30,54412.3,54519.45,54412.3,54489.15,0
2026-04-13 09:20:00+05:30,54488.75,54517.05,54463.8,54496.9,0
2026-04-13 09:21:00+05:30,54497.45,54519.7,54478.75,54507.0,0
2026-04-13 09:22:00+05:30,54511.8,54554.75,54500.2,54545.1,0
2026-04-13 09:23:00+05:30,54546.45,54583.95,54540.35,54574.2,0
2026-04-13 09:24:00+05:30,54573.0,54583.0,54553.4,54570.55,0
2026-04-13 09:25:00+05:30,54566.95,54601.55,54560.25,54598.85,0
2026-04-13 09:26:00+05:30,54601.75,54626.6,54589.75,54625.0,0
2026-04-13 09:27:00+05:30,54621.15,54643.55,54609.95,54631.95,0
2026-04-13 09:28:00+05:30,54636.95,54636.95,54586.6,54610.9,0
2026-04-13 09:29:00+05:30,54600.25,54637.55,54600.25,54614.45,0
2026-04-13 09:30:00+05:30,54608.5,54617.15,54540.25,54544.85,0
2026-04-13 09:31:00+05:30,54542.45,54554.9,54530.0,54540.3,0
2026-04-13 09:32:00+05:30,54536.8,54579.65,54527.05,54572.85,0
2026-04-13 09:33:00+05:30,54569.35,54618.3,54569.35,54608.3,0
2026-04-13 09:34:00+05:30,54607.6,54618.8,54600.0,54614.95,0
2026-04-13 09:35:00+05:30,54615.85,54615.85,54551.95,54551.95,0
2026-04-13 09:36:00+05:30,54551.7,54560.6,54510.4,54540.15,0
2026-04-13 09:37:00+05:30,54538.55,54560.95,54527.75,54559.6,0
2026-04-13 09:38:00+05:30,54556.45,54565.4,54545.05,54555.8,0
2026-04-13 09:39:00+05:30,54558.2,54575.35,54551.2,54564.0,0
2026-04-13 09:40:00+05:30,54564.5,54576.85,54553.55,54565.4,0
2026-04-13 09:41:00+05:30,54569.35,54640.25,54569.35,54633.85,0
2026-04-13 09:42:00+05:30,54637.05,54691.2,54637.05,54664.1,0
2026-04-13 09:43:00+05:30,54661.8,54681.85,54645.75,54670.85,0
2026-04-13 09:44:00+05:30,54673.2,54683.25,54665.9,54677.6,0
2026-04-13 09:45:00+05:30,54679.0,54680.1,54624.45,54639.25,0
2026-04-13 09:46:00+05:30,54637.5,54657.25,54634.45,54652.8,0
2026-04-13 09:47:00+05:30,54655.25,54671.35,54651.55,54658.5,0
2026-04-13 09:48:00+05:30,54662.45,54662.45,54639.5,54649.5,0
2026-04-13 09:49:00+05:30,54649.45,54694.55,54640.2,54686.3,0
2026-04-13 09:50:00+05:30,54688.25,54709.6,54680.4,54703.9,0
2026-04-13 09:51:00+05:30,54706.0,54715.7,54687.5,54715.7,0
2026-04-13 09:52:00+05:30,54714.2,54722.05,54700.75,54717.8,0
2026-04-13 09:53:00+05:30,54714.45,54748.6,54712.05,54733.6,0
2026-04-13 09:54:00+05:30,54735.6,54757.3,54727.6,54729.2,0
2026-04-13 09:55:00+05:30,54731.3,54778.15,54727.5,54773.2,0
2026-04-13 09:56:00+05:30,54778.85,54788.7,54770.95,54784.35,0
2026-04-13 09:57:00+05:30,54786.5,54789.35,54752.8,54773.0,0
2026-04-13 09:58:00+05:30,54768.5,54777.5,54745.05,54749.55,0
2026-04-13 09:59:00+05:30,54755.1,54764.4,54748.5,54753.2,0
2026-04-13 10:00:00+05:30,54755.65,54758.45,54708.55,54718.9,0
2026-04-13 10:01:00+05:30,54717.55,54763.4,54709.5,54759.55,0
2026-04-13 10:02:00+05:30,54756.8,54771.7,54746.0,54757.95,0
2026-04-13 10:03:00+05:30,54761.8,54767.05,54745.45,54760.95,0
2026-04-13 10:04:00+05:30,54760.7,54769.05,54727.9,54765.2,0
2026-04-13 10:05:00+05:30,54767.85,54796.95,54766.4,54794.5,0
2026-04-13 10:06:00+05:30,54797.8,54797.8,54769.55,54776.85,0
2026-04-13 10:07:00+05:30,54777.85,54790.6,54759.05,54785.3,0
2026-04-13 10:08:00+05:30,54788.7,54792.6,54749.65,54756.65,0
2026-04-13 10:09:00+05:30,54753.7,54777.3,54749.95,54776.65,0
2026-04-13 10:10:00+05:30,54776.85,54781.15,54764.25,54775.8,0
2026-04-13 10:11:00+05:30,54776.15,54787.0,54766.4,54784.2,0
2026-04-13 10:12:00+05:30,54788.35,54802.5,54786.35,54801.25,0
2026-04-13 10:13:00+05:30,54804.3,54806.05,54770.0,54777.6,0
2026-04-13 10:14:00+05:30,54776.95,54776.95,54732.55,54741.0,0
2026-04-13 10:15:00+05:30,54743.75,54743.75,54684.05,54697.7,0
2026-04-13 10:16:00+05:30,54690.8,54717.55,54678.75,54678.75,0
2026-04-13 10:17:00+05:30,54682.5,54690.2,54669.55,54689.65,0
